"artist","total_plays_2018","rank_2018","total_plays_2019","rank_2019","total_plays_2020","rank_2020","total_plays_2021","rank_2021","total_plays_2022","rank_2022"
"boz scaggs",1,1260,,,1,1982,,,,
"brazilian girls",1,1260,,,,,12,544,,
"brenda holloway",4,583,3,685,2,1292,1,2135,3,1188
"brenda stubbert/richard wood/brian doyle",2,840,,,2,1292,,,,
"brendan perry",1,1260,1,1301,,,,,,
"brian eno",8,408,3,685,4,865,4,1081,2,1439
"brian hyland",1,1260,,,,,,,,
"bring me the horizon",5,507,,,2,1292,,,,
"british sea power",2,840,3,685,,,,,,
"britney spears (feat. nicki minaj & ke$ha)",1,1260,,,,,,,,
"brockhampton",6,463,,,,,,,,
"broncho",3,679,,,,,4,1081,4,1038
"bronski beat",23,215,7,458,7,630,16,425,15,450
"broods",1,1260,2,855,,,2,1500,,
"brown eyed girls",8,408,4,599,3,1021,4,1081,6,854
"bryan ferry",4,583,1,1301,1,1982,2,1500,1,2066
"buck meek",1,1260,,,,,,,,
"buddy macmaster and joey beaton",2,840,,,2,1292,,,,
"buggles",1,1260,,,,,,,2,1439
"bush",2,840,1,1301,,,1,2135,1,2066
"buster shuffle",1,1260,,,,,,,,
"buzzcocks",2,840,5,534,7,630,94,67,74,80
"c duncan",2,840,,,15,390,8,761,1,2066
"cabbage",2,840,288,10,77,72,115,48,78,77
"cafe bertrand",21,228,16,291,2,1292,,,1,2066
"cage the elephant",60,103,33,169,43,141,13,511,8,750
"cake",30,173,5,534,3,1021,,,21,330
"calling blue jay",1,1260,,,,,,,,
"calliope musicals",3,679,,,,,,,,
"calva louise",4,583,8,428,6,685,7,821,12,563
"calvin harris",85,68,9,393,6,685,30,246,5,948
"calvin harris ft. ellie goulding",1,1260,,,,,,,,
"calvin harris, dua lipa",2,840,,,,,,,1,2066
"calvin harris, sam smith",1,1260,,,,,,,,
"cameo",3,679,,,,,,,2,1439
"camouflage",8,408,1,1301,3,1021,,,3,1188
"canadian brass",19,242,,,1,1982,17,396,1,2066
"candide: jerry hadley, cunegonde: june anderson, london symphony orchestra & chorus, leonard bernstein",1,1260,,,,,,,,
"candide: jerry hadley, london symphony orchestra & chorus, leonard bernstein",1,1260,,,,,,,,
"candide: jerry hadley, maximillian: kurt ollmann, cunegonde: june anderson, paquette: della jones, london symphony orchestra & chorus, leonard bernstein",1,1260,,,,,,,,
"candy for julie",2,840,,,,,,,,
"canyon city",4,583,,,,,,,,
"capital cities",2,840,,,,,,,,
"car seat headrest",2,840,,,24,259,12,544,11,611
"cardi b, bad bunny & j balvin",1,1260,,,,,,,,
"caribou",2,840,3,685,47,129,4,1081,4,1038
"carl carlton",2,840,,,,,,,,
"carmen consoli",1,1260,,,2,1292,2,1500,,
"carnival youth",2,840,,,,,,,,
"carnivore",1,1260,2,855,2,1292,1,2135,,
"caro",2,840,,,7,630,1,2135,1,2066
"caro emerald",1,1260,,,,,,,1,2066
"caroline rose",34,156,1,1301,12,461,11,598,11,611
"carson mchone",1,1260,,,,,,,,
"casper skulls",3,679,,,,,,,,
"caspian pool",2,840,,,,,,,,
"cast",5,507,1,1301,,,,,1,2066
"cat stevens",3,679,5,534,1,1982,,,,
"catch 22",6,463,,,,,,,4,1038
"catfish and the bottlemen",8,408,19,260,11,496,1,2135,,
"cayucas",2,840,,,3,1021,1,2135,,
"cecil frena",2,840,,,,,,,,
"celldweller",3,679,1,1301,2,1292,1,2135,1,2066
"celtic fiddle festival",12,329,25,214,12,461,12,544,,
"ceo",2,840,,,,,,,,
"cesium 137",1,1260,,,,,,,1,2066
"chairlift",3,679,,,,,1,2135,,
"champs",2,840,2,855,,,,,,
"charles munch; boston symphony orchestra",1,1260,3,685,,,,,,
"charli xcx",94,63,17,279,8,595,7,821,8,750
"charly bliss",4,583,2,855,3,1021,,,,
"cheap trick",1,1260,,,,,,,,
"cheers elephant",2,840,,,,,,,,
"cheese on bread",1,1260,,,,,,,,
"chemical brothers",2,840,,,,,,,,
"chemtrails",2,840,1,1301,3,1021,,,3,1188
"cherry glazerr",4,583,1,1301,1,1982,2,1500,,
"chesterfield kings",1,1260,,,,,,,,
"cheveu",2,840,,,,,,,,
"chic",2,840,1,1301,,,1,2135,3,1188
"chicory tip",10,362,9,393,2,1292,2,1500,6,854
"childish gambino",1,1260,,,1,1982,3,1236,1,2066
"choir of king's college, cambridge/sir david willcocks",28,187,,,,,,,,
"choir of king's college, cambridge/sir philip ledger",10,362,,,,,,,,
"chris clark",2,840,1,1301,,,1,2135,1,2066
"christopher paul stelling",3,679,,,,,,,,
"chuck d",1,1260,,,,,,,,
"chumbawamba",20,234,3,685,1,1982,2,1500,26,266
"chvrches",7,436,21,245,1,1982,25,297,7,802
"cilla black",4,583,1,1301,2,1292,1,2135,,
"cinema hearts",18,248,10,375,5,761,1,2135,2,1439
"circa survive",7,436,,,,,,,,
"circa waves",6,463,17,279,3,1021,6,887,,
"cirith ungol",2,840,,,,,,,1,2066
"citizens!",2,840,1,1301,1,1982,,,,
"clan of xymox",26,200,26,206,5,761,28,264,34,208
"clans",6,463,2,855,,,,,,
"clap your hands say yeah",7,436,12,339,7,630,18,381,1,2066
"clara-nova",1,1260,,,,,,,,
"classical",10,362,,,1,1982,1,2135,,
"claudio baglioni",8,408,9,393,7,630,1,2135,2,1439
"claws",2,840,,,1,1982,,,,
"clean bandit",1,1260,,,1,1982,,,,
"clean spill",5,507,1,1301,,,,,,
"cliff martinez",2,840,5,534,2,1292,,,1,2066
"close talker",3,679,,,,,,,,
"cloud",4,583,,,,,,,,
"cockney rebel",2,840,2,855,1,1982,1,2135,,
"coco hames",4,583,,,,,,,,
"cocteau twins",1,1260,1,1301,3,1021,5,979,2,1439
"codes",1,1260,,,,,,,,
"coeur de pirate",27,192,32,173,6,685,2,1500,3,1188
"coheed and cambria",1,1260,,,,,,,,
"cold fronts",6,463,,,,,,,,
"cold war kids",21,228,6,496,6,685,2,1500,,
"cold weather company",5,507,2,855,,,,,,
"coldplay",5,507,2,855,1,1982,2,1500,,
"coldplay vs. swedish house mafia",2,840,,,,,,,,
"collapsing stars",3,679,,,,,,,,
"college",10,362,12,339,4,865,6,887,3,1188
"colony house",32,164,,,3,1021,,,,
"colour me wednesday",3,679,,,,,,,,
"com truise",5,507,,,4,865,1,2135,2,1439
"commander cody",2,840,,,,,,,,
"commix",1,1260,,,,,,,,
"common holly",3,679,,,,,,,,
"concerto moon",2,840,4,599,,,1,2135,3,1188
"confidence man",189,27,88,70,62,94,32,235,195,18
"conner youngblood",13,316,,,,,,,,
"conor oberst",5,507,,,,,,,,
"corey hart",2,840,1,1301,1,1982,1,2135,4,1038
"cornelius",1,1260,,,,,,,,
"cornershop",18,248,2,855,10,523,12,544,21,330
"corridor",3,679,12,339,19,312,1,2135,3,1188
"cosmo sheldrake",5,507,34,162,22,280,11,598,3,1188
"courtney barnett",3,679,1,1301,,,4,1081,,
"courtney marie andrews",1,1260,,,,,,,,
"covenant",7,436,4,599,1,1982,42,187,2,1439
"covox",5,507,5,534,,,,,3,1188
"cowboy bebop",1,1260,,,,,,,,
"cozy powell",1,1260,1,1301,,,1,2135,,
"crash kings",5,507,1,1301,1,1982,1,2135,,
"cream",11,348,6,496,14,406,6,887,11,611
"creature people",1,1260,,,,,,,,
"creedence clearwater revival",1,1260,,,,,2,1500,2,1439
"crocodile",14,298,,,,,,,,
"crooked x",1,1260,,,,,,,,
"crosby, stills & nash",3,679,4,599,8,595,4,1081,1,2066
"crossbreed",2,840,,,1,1982,,,,
"crying",1,1260,,,1,1982,,,,
"crying day care choir",1,1260,,,,,,,,
"crystal castles",3,679,,,,,,,1,2066
"cuddle magic",2,840,,,,,1,2135,,
"cults",1,1260,11,360,,,13,511,11,611
"culture club",13,316,1,1301,2,1292,1,2135,6,854
"cunegonde: june anderson, paquette: della jones, candide: jerry hadley, maximillian: kurt ollmann, london symphony orchestra & chorus, leonard bernstein",1,1260,,,,,,,,
"current joys",2,840,,,,,2,1500,,
"cursive",1,1260,,,3,1021,,,,
"curtis mayfield",16,273,2,855,2,1292,3,1236,5,948
"cut copy",2,840,1,1301,2,1292,,,2,1439
"cut worms",1,1260,,,,,,,,
"cutting crew",7,436,,,,,,,1,2066
"cyndi lauper",6,463,,,,,1,2135,,
"dad rocks!",1,1260,,,,,,,,
