"artist","total_plays_2018","rank_2018","total_plays_2019","rank_2019","total_plays_2020","rank_2020","total_plays_2021","rank_2021","total_plays_2022","rank_2022"
"cihan mürtezaoğlu",,,,,,,1,2135,,
"cimini",,,,,,,1,2135,,
"civic",,,,,,,1,2135,1,2066
"clarence reid",,,,,,,1,2135,,
"claud, melanie faye",,,,,,,1,2135,,
"claud, nick hakim",,,,,,,1,2135,,
"claud, shelly",,,,,,,1,2135,,
"cleo sol",,,,,,,1,2135,,
"clio, iggy pop",,,,,,,1,2135,,
"clor",,,,,,,1,2135,1,2066
"cloud control",,,,,,,1,2135,3,1188
"coco cole",,,,,,,1,2135,,
"coez",,,,,,,1,2135,1,2066
"colapesce, dimartino",,,,,,,1,2135,,
"cold beat",,,,,,,1,2135,3,1188
"cold carti",,,,,,,1,2135,,
"colder",,,,,,,1,2135,1,2066
"colin newman",,,,,,,1,2135,,
"college & electric youth",,,,,,,1,2135,,
"colourbox",,,,,,,1,2135,3,1188
"company b",,,,,,,1,2135,,
"computer",,,,,,,1,2135,,
"concrete knives",,,,,,,1,2135,,
"confidence man, erol alkan",,,,,,,1,2135,1,2066
"congo natty",,,,,,,1,2135,,
"corinne bailey rae",,,,,,,1,2135,,
"coşkun karademir",,,,,,,1,2135,,
"cosmetic",,,,,,,1,2135,2,1439
"cosmo vitelli, sebastian lee philipp",,,,,,,1,2135,,
"cream soda, казускома",,,,,,,1,2135,,
"creux lies",,,,,,,1,2135,,
"crows",,,,,,,1,2135,7,802
"crx",,,,,,,1,2135,1,2066
"crystal castles, robert smith",,,,,,,1,2135,1,2066
"cub scout bowling pins",,,,,,,1,2135,,
"cub sport, embrz",,,,,,,1,2135,,
"curtains for you",,,,,,,1,2135,,
"custódio castelo",,,,,,,1,2135,,
"cut chemist, laura darlington",,,,,,,1,2135,,
"cwt",,,,,,,1,2135,,
"da hool",,,,,,,1,2135,,
"daði freyr, arnar úlfur",,,,,,,1,2135,,
"daði freyr, árný fjóla",,,,,,,1,2135,,
"daði freyr, ásdís maría",,,,,,,1,2135,,
"daði freyr, blær",,,,,,,1,2135,,
"daði freyr, don tox",,,,,,,1,2135,,
"daði freyr, króli",,,,,,,1,2135,,
"daft punk, julian casablancas",,,,,,,1,2135,,
"dag nasty",,,,,,,1,2135,2,1439
"dakh daughters",,,,,,,1,2135,1,2066
"dakooka, парнишка",,,,,,,1,2135,,
"dale earnhardt jr. jr.",,,,,,,1,2135,,
"dalinda",,,,,,,1,2135,,
"dalis car",,,,,,,1,2135,1,2066
"damion suomi & the minor prophets",,,,,,,1,2135,,
"danger mouse, sparklehorse, julian casablancas",,,,,,,1,2135,,
"daniel avery, chris carter",,,,,,,1,2135,,
"daniel lanois, leonard cohen",,,,,,,1,2135,,
"dannii minogue",,,,,,,1,2135,,
"danny brown, kendrick lamar, ab-soul, earl sweatshirt",,,,,,,1,2135,,
"darcy clay",,,,,,,1,2135,,
"darwin deez",,,,,,,1,2135,,
"dave dee, dozy, beaky, mick & tich",,,,,,,1,2135,,
"david bowie, air, julien delfaux",,,,,,,1,2135,,
"david guetta, mistajam, john newman, morten",,,,,,,1,2135,,
"david johansen",,,,,,,1,2135,,
"david lynch",,,,,,,1,2135,4,1038
"david wax museum",,,,,,,1,2135,,
"davide salvado",,,,,,,1,2135,,
"davide van de sfroos, zucchero",,,,,,,1,2135,,
"de lux",,,,,,,1,2135,,
"de'lacy",,,,,,,1,2135,1,2066
"dead cross",,,,,,,1,2135,1,2066
"dead moon",,,,,,,1,2135,2,1439
"dead pony",,,,,,,1,2135,6,854
"deadletter",,,,,,,1,2135,10,666
"deaf radio",,,,,,,1,2135,1,2066
"death tour, strange bones",,,,,,,1,2135,,
"decius, fat white family, johnny aux, trashmouth records",,,,,,,1,2135,,
"declan mckenna, georgia",,,,,,,1,2135,,
"definition of sound",,,,,,,1,2135,,
"deliluh",,,,,,,1,2135,1,2066
"delta spirit",,,,,,,1,2135,,
"deltron 3030, damon albarn, casual",,,,,,,1,2135,,
"depeche mode, daniel miller, phil legg",,,,,,,1,2135,,
"detroit grand pubahs",,,,,,,1,2135,,
"dharmacide",,,,,,,1,2135,,
"di ivories",,,,,,,1,2135,,
"diaframma",,,,,,,1,2135,,
"diamanda galás",,,,,,,1,2135,10,666
"diana arbenina, nochnye snaipery",,,,,,,1,2135,,
"dimitri mazza, gigi d'agostino",,,,,,,1,2135,,
"diodato",,,,,,,1,2135,,
"diplo, damian lazarus, blu detiger, jungle",,,,,,,1,2135,,
"diplo, damian lazarus, jungle",,,,,,,1,2135,,
"diplo, damian lazarus, jungle, torren foot",,,,,,,1,2135,,
"dirty heads, travis barker, the interrupters",,,,,,,1,2135,,
"dirty pretty things",,,,,,,1,2135,,
"disco tarantula, tuğçe şenoğul",,,,,,,1,2135,,
"diskoteka avariya, lyapis trubetskoy",,,,,,,1,2135,,
"diskoteka avariya, nikolay baskov",,,,,,,1,2135,,
"diskoteka avariya, philipp kirkorov",,,,,,,1,2135,,
"diskoteka avariya, slava",,,,,,,1,2135,1,2066
"diskoteka avariya, zhuki",,,,,,,1,2135,,
"divide and dissolve",,,,,,,1,2135,1,2066
"divine, vince staples, pusha t",,,,,,,1,2135,,
"dj fresh",,,,,,,1,2135,,
"dj fresh, elle eyra",,,,,,,1,2135,,
"dj fresh, shy fx",,,,,,,1,2135,,
"dj t., adana twins",,,,,,,1,2135,,
"django django, busy p",,,,,,,1,2135,,
"django django, charlotte gainsbourg, free love",,,,,,,1,2135,,
"django django, david maclean, thomas grace, vincent neff, jimmy dixon",,,,,,,1,2135,,
"django django, denai moore, bullion",,,,,,,1,2135,,
"django django, elvis maswanganyi",,,,,,,1,2135,,
"django django, fimber bravo",,,,,,,1,2135,,
"django django, hot chip",,,,,,,1,2135,,
"django django, lindsey leven / guto pryce",,,,,,,1,2135,,
"django django, mike silver",,,,,,,1,2135,,
"django django, nicholas mccarthy",,,,,,,1,2135,,
"django django, perel",,,,,,,1,2135,,
"django django, tom furse",,,,,,,1,2135,,
"djazia satour",,,,,,,1,2135,,
"dmz",,,,,,,1,2135,1,2066
"dobranotch, dj click",,,,,,,1,2135,,
"dollkraut",,,,,,,1,2135,1,2066
"dominique guiot",,,,,,,1,2135,,
"domino saints",,,,,,,1,2135,,
"dongyang gozupa",,,,,,,1,2135,,
"donna summer, barbra streisand",,,,,,,1,2135,,
"donna summer, jean tonique",,,,,,,1,2135,,
"donna summer, junior vasquez",,,,,,,1,2135,,
"donna summer, marc paul simon, bobby guttadaro",,,,,,,1,2135,,
"donny hathaway",,,,,,,1,2135,,
"donovan, david lynch",,,,,,,1,2135,1,2066
"donzii",,,,,,,1,2135,2,1439
"dope",,,,,,,1,2135,,
"dorothys fortress",,,,,,,1,2135,,
"double trouble",,,,,,,1,2135,,
"dr hook",,,,,,,1,2135,1,2066
"drc music",,,,,,,1,2135,,
"dreadzone",,,,,,,1,2135,,
"dreamers, american teeth, wes period",,,,,,,1,2135,,
"drugstore",,,,,,,1,2135,1,2066
"dua lipa, the blessed madonna",,,,,,,1,2135,,
"dub fx, david starfire",,,,,,,1,2135,,
"dub fx, kundalini project",,,,,,,1,2135,,
"ducks unlimited",,,,,,,1,2135,,
"ducktails",,,,,,,1,2135,,
"dumbo gets mad",,,,,,,1,2135,5,948
"duran duran, chai",,,,,,,1,2135,,
"dyad",,,,,,,1,2135,,
"dylan fraser",,,,,,,1,2135,1,2066
"e'voke, dehasse",,,,,,,1,2135,1,2066
"ebo taylor",,,,,,,1,2135,,
"ed dowie",,,,,,,1,2135,1,2066
"edva",,,,,,,1,2135,,
"egg hunt",,,,,,,1,2135,5,948
"eight dayz",,,,,,,1,2135,,
"einherjer",,,,,,,1,2135,,
"eins, zwei orchestra",,,,,,,1,2135,,
"electroforez, ash code",,,,,,,1,2135,,
"electroforez, molchat doma, getsuga tenshou",,,,,,,1,2135,,
"electroforez, nürnberg",,,,,,,1,2135,,
"elektrodepo",,,,,,,1,2135,,
"elephanz",,,,,,,1,2135,1,2066
"elin kåven",,,,,,,1,2135,,
"elkka",,,,,,,1,2135,,
"ellen kristjánsdóttir, john grant",,,,,,,1,2135,,
"elton motello",,,,,,,1,2135,1,2066
"emanuel and the fear",,,,,,,1,2135,,
"emika",,,,,,,1,2135,,
"emil kárlsen",,,,,,,1,2135,,
"emil kárlsen, hildá länsman",,,,,,,1,2135,,
"emil kárlsen, katarina barruk",,,,,,,1,2135,,
"empire brass",,,,,,,1,2135,,
"enola gay",,,,,,,1,2135,10,666
"eob, laura marling",,,,,,,1,2135,,
"erika de casier, mura masa",,,,,,,1,2135,,
"eris drew",,,,,,,1,2135,1,2066
"erkut taçkın",,,,,,,1,2135,,
"erma franklin",,,,,,,1,2135,,
"erol alkan",,,,,,,1,2135,,
"erol alkan, palms trax",,,,,,,1,2135,,
"esma redžepova-teodosievski, nune brothers",,,,,,,1,2135,1,2066
"essaie pas",,,,,,,1,2135,1,2066
"eugenio in via di gioia",,,,,,,1,2135,,
"eurythmics, annie lennox, dave stewart",,,,,,,1,2135,2,1439
"evelyn ""champagne"" king",,,,,,,1,2135,,
"evermore",,,,,,,1,2135,,
"everything everything, foals",,,,,,,1,2135,,
"everything is recorded, infinite coles, berwyn",,,,,,,1,2135,,
"evgeny grinko",,,,,,,1,2135,,
"ex:re",,,,,,,1,2135,1,2066
"extra medium pony",,,,,,,1,2135,,
"eye drops",,,,,,,1,2135,,
"eyez",,,,,,,1,2135,,
"f3d, hey steve",,,,,,,1,2135,,
"fabels",,,,,,,1,2135,,
"fable, offmi",,,,,,,1,2135,,
"fabrizio de andré",,,,,,,1,2135,1,2066
"facs",,,,,,,1,2135,1,2066
"fad gadget, eric radcliffe",,,,,,,1,2135,,
"fagget fairys",,,,,,,1,2135,,
"faithless, david guetta",,,,,,,1,2135,,
"faithless, suli breaks, jazzie b.",,,,,,,1,2135,,
"fanfara station",,,,,,,1,2135,,
"fanfarlo",,,,,,,1,2135,,
"fast animals and slow kids, willie peyote",,,,,,,1,2135,,
"fast friends",,,,,,,1,2135,,
"fear of men",,,,,,,1,2135,,
"felix da housecat",,,,,,,1,2135,1,2066
"ferrein, minereed",,,,,,,1,2135,,
"ffs, franz ferdinand, sparks",,,,,,,1,2135,,
"figli di madre ignota, roy paci",,,,,,,1,2135,,
"figueroa, amon tobin",,,,,,,1,2135,1,2066
"filastine & nova, brent arnold",,,,,,,1,2135,,
"filatov & karas, mumiy troll",,,,,,,1,2135,,
"filous & the kooks",,,,,,,1,2135,,
"fine young cannibals",,,,,,,1,2135,,
"fine, it's pink!",,,,,,,1,2135,,
"fireboy dml",,,,,,,1,2135,,
"fishboy",,,,,,,1,2135,,
"five revolutions",,,,,,,1,2135,,
"flavien berger",,,,,,,1,2135,,
"flook, zazim",,,,,,,1,2135,,
"flor",,,,,,,1,2135,1,2066
"flower face",,,,,,,1,2135,,
"flume, vera blue",,,,,,,1,2135,,
"flyte",,,,,,,1,2135,,
"foals, gaspard augé, victor le masne",,,,,,,1,2135,,
"fog lake",,,,,,,1,2135,,
"fokn bois, medikal",,,,,,,1,2135,,
"fontaines d.c., dave clarke",,,,,,,1,2135,,
"for those i love",,,,,,,1,2135,,
"fort romeau",,,,,,,1,2135,,
"francesca michielin, fedez",,,,,,,1,2135,,
"francesco baccini, ladri di biciclette",,,,,,,1,2135,,
"franco126",,,,,,,1,2135,,
"frank carter & the rattlesnakes, bobby gillespie",,,,,,,1,2135,,
"frank zappa",,,,,,,1,2135,,
"frankie miller",,,,,,,1,2135,,
"franz matthews, local suicide, chaim, ozart",,,,,,,1,2135,,
"freakin' disco, jónás vera",,,,,,,1,2135,,
"free flow flava",,,,,,,1,2135,,
"french cassettes",,,,,,,1,2135,,
"french horn rebellion, bee's knees, boulevards",,,,,,,1,2135,,
"french horn rebellion, database, the twelves",,,,,,,1,2135,,
"french horn rebellion, ghost beach",,,,,,,1,2135,,
"french horn rebellion, marcy chin",,,,,,,1,2135,,
"french horn rebellion, natalie duffy",,,,,,,1,2135,,
"french horn rebellion, spencer ludwig",,,,,,,1,2135,,
"french horn rebellion, that's nice",,,,,,,1,2135,,
"french horn rebellion, that's nice, patterns",,,,,,,1,2135,,
"french horn rebellion, viceroy",,,,,,,1,2135,,
"frenetik&orang3, gemitaiz",,,,,,,1,2135,,
"fruit bats",,,,,,,1,2135,,
"fuck buttons",,,,,,,1,2135,,
"fulminacci",,,,,,,1,2135,,
"fun & panic! at the disco",,,,,,,1,2135,,
"fun lovin' criminals",,,,,,,1,2135,,
"future dads",,,,,,,1,2135,1,2066
"future funk squad, omega sparx, stu brootal, the crystal method",,,,,,,1,2135,,
"future islands, smallboy",,,,,,,1,2135,,
"gail ann dorsey, gang of four",,,,,,,1,2135,,
"galaxie",,,,,,,1,2135,11,611
"galeffi",,,,,,,1,2135,,
"gang of four, killing joke",,,,,,,1,2135,,
"ganser, algiers",,,,,,,1,2135,,
"gary numan, ade fenton, gang of four",,,,,,,1,2135,,
"gary numan, tubeway army",,,,,,,1,2135,,
"gazzelle, tha supreme",,,,,,,1,2135,,
"gemello, coez, gemitaiz",,,,,,,1,2135,,
"gender roles",,,,,,,1,2135,,
"gendered dekonstruktion, dj genderfluid",,,,,,,1,2135,,
"generationals",,,,,,,1,2135,,
"genius x-9, grandson",,,,,,,1,2135,,
"geometric vision",,,,,,,1,2135,,
"get well soon",,,,,,,1,2135,,
"ghali",,,,,,,1,2135,,
"ghemon",,,,,,,1,2135,,
"ghlow",,,,,,,1,2135,,
"ghost woman",,,,,,,1,2135,7,802
"gigi d'agostino, ludo dream",,,,,,,1,2135,,
"gigi d'agostino, magic melody",,,,,,,1,2135,,
"gio evan",,,,,,,1,2135,,
"girl ray",,,,,,,1,2135,,
"girls aloud",,,,,,,1,2135,,
"gizmo varillas, baio",,,,,,,1,2135,,
"gjon's tears",,,,,,,1,2135,,
"glass animals, bree runway",,,,,,,1,2135,,
"glass animals, iann dior",,,,,,,1,2135,,
"glass animals, oliver heldens",,,,,,,1,2135,,
"glass animals, riton",,,,,,,1,2135,,
"glaxo babies",,,,,,,1,2135,1,2066
"glossii",,,,,,,1,2135,,
"gnod, jk flesh",,,,,,,1,2135,,
"go_a, billx",,,,,,,1,2135,,
"go_a, dj nana",,,,,,,1,2135,,
"go_a, obsqr.",,,,,,,1,2135,,
"goat girl, nídia",,,,,,,1,2135,,
"god",,,,,,,1,2135,1,2066
"gogo penguin",,,,,,,1,2135,,
"golden features, the presets",,,,,,,1,2135,,
"golden girls, orbital",,,,,,,1,2135,1,2066
"goldfrapp, t.raumschmiere",,,,,,,1,2135,,
"golnar & mahan",,,,,,,1,2135,,
"good kid",,,,,,,1,2135,,
"goodbye mr mackenzie",,,,,,,1,2135,,
"goran bregović",,,,,,,1,2135,5,948
"goran bregović, vaska jankovska",,,,,,,1,2135,,
"gorillaz, alicai harley",,,,,,,1,2135,,
"gorillaz, bobby womack",,,,,,,1,2135,,
"gorillaz, danny brown, kelela",,,,,,,1,2135,,
"gorillaz, ed case",,,,,,,1,2135,,
"gorillaz, gruff rhys, de la soul",,,,,,,1,2135,,
"gorillaz, jelani blackman, barrington levy",,,,,,,1,2135,,
"gotye",,,,,,,1,2135,,
"goulasch exotica, etnorom",,,,,,,1,2135,,
"grandson, jessie reyez",,,,,,,1,2135,,
"grandson, jessie reyez, idris elba",,,,,,,1,2135,,
"grandson, kesha, travis barker",,,,,,,1,2135,,
"grandson, vic mensa, masked wolf",,,,,,,1,2135,,
"greatest hits",,,,,,,1,2135,,
"grechka",,,,,,,1,2135,,
"greentea peng, simmy, kid cruise, the streets",,,,,,,1,2135,,
"gregorio, cosmo",,,,,,,1,2135,,
"grimes, âme, tale of us",,,,,,,1,2135,,
"grimes, anna",,,,,,,1,2135,,
"grimes, bloodpop®, hana",,,,,,,1,2135,,
"grimes, channel tres",,,,,,,1,2135,,
"grimes, i_o",,,,,,,1,2135,,
"grimes, i_o, rezz",,,,,,,1,2135,,
"grimes, julien bracht",,,,,,,1,2135,,
"grimes, modeselektor",,,,,,,1,2135,,
"grimes, things you say",,,,,,,1,2135,,
"grimes, 潘pan, richie hawtin",,,,,,,1,2135,,
"griz",,,,,,,1,2135,,
"groove armada, gramma funk",,,,,,,1,2135,,
"grust200",,,,,,,1,2135,,
"guano apes, ronald prent at wisselord studios, hilversum, netherland",,,,,,,1,2135,,
"guedra guedra",,,,,,,1,2135,,
"gulp",,,,,,,1,2135,,
"gusgus",,,,,,,1,2135,,
"gustaf, beck",,,,,,,1,2135,,
"guy blakeslee",,,,,,,1,2135,,
"gwen stefani",,,,,,,1,2135,,
"habib wahid, nancy",,,,,,,1,2135,,
"haiku hands, ipon",,,,,,,1,2135,,
"haiku hands, joyride",,,,,,,1,2135,,
"haim, taylor swift",,,,,,,1,2135,,
"haim, thundercat",,,,,,,1,2135,,
"haim, toro y moi",,,,,,,1,2135,,
"ham sandwich",,,,,,,1,2135,,
"hanni el khatib",,,,,,,1,2135,,
"hard bass school",,,,,,,1,2135,,
"hardcore raver in tears, gang of four",,,,,,,1,2135,,
"harpers bizarre",,,,,,,1,2135,,
"harry wolfman",,,,,,,1,2135,,
"haruomi hosono",,,,,,,1,2135,,
"hayes & y",,,,,,,1,2135,1,2066
"health, nine inch nails",,,,,,,1,2135,,
"heart-sick groans",,,,,,,1,2135,,
"hello forever",,,,,,,1,2135,,
"henge",,,,,,,1,2135,1,2066
"herbie hancock",,,,,,,1,2135,,
"herbie mann",,,,,,,1,2135,,
"high contrast, kae tempest, anita blay",,,,,,,1,2135,,
"hildá länsman, lávre",,,,,,,1,2135,,
"hillström & billy, julie doiron",,,,,,,1,2135,,
"himera, petal supply",,,,,,,1,2135,,
"hiperson",,,,,,,1,2135,10,666
"hleb",,,,,,,1,2135,,
"hmltd, seth evans",,,,,,,1,2135,,
"hmltd, tallulah eden",,,,,,,1,2135,,
"holger czukay",,,,,,,1,2135,,
"hollow sinatra",,,,,,,1,2135,,
"honorary astronaut",,,,,,,1,2135,,
"hotei, gang of four",,,,,,,1,2135,,
"hourglvss",,,,,,,1,2135,,
"howie lee",,,,,,,1,2135,,
"hues corporation",,,,,,,1,2135,,
"hugar",,,,,,,1,2135,,
"human love",,,,,,,1,2135,,
"human sexual response",,,,,,,1,2135,,
"hunters & collectors",,,,,,,1,2135,,
"husky loops, mei, count counsellor",,,,,,,1,2135,,
"husky loops, mother marygold",,,,,,,1,2135,,
"i am kloot",,,,,,,1,2135,,
"i hate my village",,,,,,,1,2135,2,1439
"i hate myself because",,,,,,,1,2135,1,2066
"iamx, imogen heap",,,,,,,1,2135,,
"ian dury, the kilburns",,,,,,,1,2135,,
"ian sweet",,,,,,,1,2135,,
"ian thomas band",,,,,,,1,2135,,
"ic3peak, ghostemane",,,,,,,1,2135,1,2066
"ic3peak, husky",,,,,,,1,2135,,
"ic3peak, zillakami",,,,,,,1,2135,2,1439
"icekiid",,,,,,,1,2135,,
"ideal",,,,,,,1,2135,,
"idiotape",,,,,,,1,2135,,
"ilya lagutenko, кудамир катица",,,,,,,1,2135,,
"imagination",,,,,,,1,2135,,
"imagine dragons, jid, league of legends",,,,,,,1,2135,,
"imam baildi",,,,,,,1,2135,,
"in deep we trust",,,,,,,1,2135,,
"inga juuso",,,,,,,1,2135,,
"inga juuso, harald skullerud",,,,,,,1,2135,,
"ingor nila, bernt mikkel haglund",,,,,,,1,2135,,
"insanlar",,,,,,,1,2135,,
"intelligency",,,,,,,1,2135,,
"isák",,,,,,,1,2135,,
"ish marquez",,,,,,,1,2135,1,2066
"isobel campbell",,,,,,,1,2135,,
"isolation berlin",,,,,,,1,2135,1,2066
"ivan dorn, seven davis jr.",,,,,,,1,2135,,
"ivan dorn, vakula",,,,,,,1,2135,,
"ivan, santa crus",,,,,,,1,2135,,
"iveria",,,,,,,1,2135,3,1188
"ivory (it)",,,,,,,1,2135,,
"j lloyd",,,,,,,1,2135,,
"jack ladder",,,,,,,1,2135,1,2066
"jacob banks",,,,,,,1,2135,,
"jacopo et, lo stato sociale",,,,,,,1,2135,,
"jacques dutronc",,,,,,,1,2135,,
"jaguar sun",,,,,,,1,2135,,
"jah wobble",,,,,,,1,2135,,
"jah wobble's invaders of the heart",,,,,,,1,2135,,
"jahmal tgk",,,,,,,1,2135,,
"jakop janssønn",,,,,,,1,2135,,
"james blake, jid, swavay",,,,,,,1,2135,,
"james blake, monica martin",,,,,,,1,2135,,
"james blake, sza",,,,,,,1,2135,,
"james brown, kraddy, agami music, john morales",,,,,,,1,2135,,
"james chance",,,,,,,1,2135,1,2066
"james newman",,,,,,,1,2135,,
"james vincent mcmorrow",,,,,,,1,2135,,
"jamie xx",,,,,,,1,2135,,
"janka, sujka",,,,,,,1,2135,,
"jared mees and the grown children",,,,,,,1,2135,,
"jarek balski, mika",,,,,,,1,2135,,
"jason molina",,,,,,,1,2135,,
"jay dee",,,,,,,1,2135,,
"jazmine sullivan, anderson .paak",,,,,,,1,2135,,
"jazmine sullivan, h.e.r.",,,,,,,1,2135,,
"jehnny beth, rone",,,,,,,1,2135,1,2066
"jennylee, deap vally",,,,,,,1,2135,,
"jerusalem in my heart, alanis obomsawin, diana combo",,,,,,,1,2135,,
"jerusalem in my heart, moor mother",,,,,,,1,2135,,
"jerusalem in my heart, oiseaux-tempête",,,,,,,1,2135,,
"jessy lanza",,,,,,,1,2135,,
"jex opolis",,,,,,,1,2135,,
"jgrrey",,,,,,,1,2135,,
"jimmy hunt",,,,,,,1,2135,2,1439
"jimmy jones",,,,,,,1,2135,,
"jj wilde, the glorious sons",,,,,,,1,2135,,
"jluch, grigovor, gena",,,,,,,1,2135,,
"joan as police woman, tony allen, dave okumu",,,,,,,1,2135,,
"jockstrap, taylor skye",,,,,,,1,2135,,
"joe bataan",,,,,,,1,2135,,
"joe p",,,,,,,1,2135,,
"joe unknown",,,,,,,1,2135,2,1439
"joesef",,,,,,,1,2135,,
"johanna samuels, ohtis",,,,,,,1,2135,,
"johannes albert, shan",,,,,,,1,2135,,
"john (timestwo)",,,,,,,1,2135,5,948
"john & beverley martyn",,,,,,,1,2135,,
"john cooper clarke",,,,,,,1,2135,,
"john scoggins",,,,,,,1,2135,,
"johnny ""guitar"" watson",,,,,,,1,2135,,
"johnny flynn, robert macfarlane",,,,,,,1,2135,,
"johnny goth",,,,,,,1,2135,,
"johnny thunders & the heartbreakers",,,,,,,1,2135,,
"jon mckiel",,,,,,,1,2135,,
"jonathan richman, the modern lovers",,,,,,,1,2135,2,1439
"jonathan wilson, hannah cohen",,,,,,,1,2135,,
"joni haastrup",,,,,,,1,2135,,
"jordana & magdalena bay",,,,,,,1,2135,,
"josefin öhrn + the liberation",,,,,,,1,2135,1,2066
"joshua james, daniel avery",,,,,,,1,2135,,
"joy oladokun",,,,,,,1,2135,,
"joyner lucas",,,,,,,1,2135,,
"joywave, eiffel 65",,,,,,,1,2135,,
"joywave, porches",,,,,,,1,2135,,
"jozef van wissem, nikolay komiagin",,,,,,,1,2135,,
"juan wauters, benamin, nick hakim",,,,,,,1,2135,,
"jukka nousiainen",,,,,,,1,2135,,
"julia stone",,,,,,,1,2135,,
"julian casablancas, jehnny beth",,,,,,,1,2135,2,1439
"jungle, dave lee",,,,,,,1,2135,,
"jungle, dj streaks",,,,,,,1,2135,,
"jungle, gaspard augé, victor le masne",,,,,,,1,2135,,
"jungle, priya ragu",,,,,,,1,2135,,
"jungle, the blessed madonna",,,,,,,1,2135,,
"juno reactor",,,,,,,1,2135,,
"junodream",,,,,,,1,2135,,
"jw francis",,,,,,,1,2135,1,2066
"kalpa",,,,,,,1,2135,,
"kan wakan, alexander vincent",,,,,,,1,2135,,
"kano",,,,,,,1,2135,,
"kapela ze wsi warszawa, marcin swietlicki",,,,,,,1,2135,1,2066
"kapusha",,,,,,,1,2135,,
"kaputt",,,,,,,1,2135,,
"kara kross, mumiy troll",,,,,,,1,2135,,
"karpov not kasparov, damian lazarus",,,,,,,1,2135,,
"karpov not kasparov, elephant talk",,,,,,,1,2135,,
"kasai allstars",,,,,,,1,2135,1,2066
"katarina barruk",,,,,,,1,2135,,
"kate tempest, loyle carner",,,,,,,1,2135,,
"kawala",,,,,,,1,2135,,
"kayzo, black tiger sex machine, point north",,,,,,,1,2135,,
"kedr livanskiy, synecdoche montauk",,,,,,,1,2135,,
"keleketla!",,,,,,,1,2135,1,2066
"keleketla!, coldcut, eska, tamar osborn",,,,,,,1,2135,,
"keleketla!, coldcut, nono nkoane, thabang tabane, gally ngoveni, sibusile xaba",,,,,,,1,2135,,
"keleketla!, coldcut, nono nkoane, thabang tabane, gally ngoveni, sibusile xaba, tamar osborn, tenderlonious, dele sosimi, afla sackey, antibalas",,,,,,,1,2135,,
"keleketla!, coldcut, nono nkoane, thabang tabane, gally ngoveni, tenderlonious, dele sosimi, tamar osborn, the jungle drummer",,,,,,,1,2135,,
"keleketla!, coldcut, the lani singers, tony allen, tamar osborn, dele sosimi, afla sackey",,,,,,,1,2135,,
"keleketla!, coldcut, the lani singers, tony allen, tamar osborn, dele sosimi, afla sackey, machinedrum",,,,,,,1,2135,,
"keleketla!, coldcut, the watts prophets, tony allen, nono nkoane, tamar osborn, antibalas",,,,,,,1,2135,,
"keleketla!, coldcut, tony allen, nono nkoane, thabang tabane, gally ngoveni, sibusile xaba, afla sackey, antibalas",,,,,,,1,2135,,
"keleketla!, coldcut, tony allen, nono nkoane, thabang tabane, gally ngoveni, sibusile xaba, tamar osborn, tenderlonious, dele sosimi, afla sackey, antibalas",,,,,,,1,2135,,
"kelley stoltz",,,,,,,1,2135,,
"kepler not kopernikus",,,,,,,1,2135,,
"kevin abstract, $not, slowthai",,,,,,,1,2135,,
"kicks like a mule",,,,,,,1,2135,1,2066
"kid congo & the pink monkey birds",,,,,,,1,2135,2,1439
"kid cudi, crookers",,,,,,,1,2135,,
"kindnuss, cloudy, mika, knödel",,,,,,,1,2135,,
"king gizzard & the lizard wizard, peaches",,,,,,,1,2135,,
"king gizzard & the lizard wizard, the scientist",,,,,,,1,2135,,
"kino, tomoov",,,,,,,1,2135,,
"kiril, ras tweed, esma",,,,,,,1,2135,,
"kirin j callinan",,,,,,,1,2135,,
"klaus nomi",,,,,,,1,2135,,
"klopfgeister",,,,,,,1,2135,,
"klute",,,,,,,1,2135,,
"kojey radical, mahalia, swindle",,,,,,,1,2135,,
"koledova",,,,,,,1,2135,,
"komsomolsk, archanga",,,,,,,1,2135,,
"komsomolsk, варя краминова",,,,,,,1,2135,,
"komsomolsk, игорь журавлёв",,,,,,,1,2135,,
"kondratie, ютта замбона",,,,,,,1,2135,,
"kottarashky",,,,,,,1,2135,,
"koyil",,,,,,,1,2135,,
"kr3ture, catherine feeny",,,,,,,1,2135,,
"kraze",,,,,,,1,2135,,
"krista muir",,,,,,,1,2135,,
"krust, unkle",,,,,,,1,2135,,
"ksi, yungblud, polo g",,,,,,,1,2135,,
"kukryniksy",,,,,,,1,2135,,
"kutumba",,,,,,,1,2135,,
"kylie minogue, years & years",,,,,,,1,2135,,
"l'alba",,,,,,,1,2135,1,2066
"l'impératrice",,,,,,,1,2135,,
"la caravane electro",,,,,,,1,2135,,
"la caravane passe",,,,,,,1,2135,,
"la mambanegra, santiago jimenez",,,,,,,1,2135,,
"la perla",,,,,,,1,2135,,
"la peste",,,,,,,1,2135,2,1439
"la rappresentante di lista",,,,,,,1,2135,1,2066
"la roux, skream",,,,,,,1,2135,,
"la tana del suono, gigi d'agostino",,,,,,,1,2135,,
"ladama, toy selectah",,,,,,,1,2135,,
"ladebare, janai",,,,,,,1,2135,,
"lady blackbird",,,,,,,1,2135,,
"laila al habash",,,,,,,1,2135,,
"lajkó félix, band",,,,,,,1,2135,1,2066
"lambchop",,,,,,,1,2135,1,2066
"lamont",,,,,,,1,2135,,
